@relation Steps_Dataset_70ms-weka.filters.unsupervised.attribute.Remove-R1

@attribute duration numeric
@attribute 'acceleration variance' numeric
@attribute 'acceleration peek' numeric
@attribute 'acceleration max-min' numeric
@attribute RMS numeric
@attribute RMS*duration numeric
@attribute gait {jogging,running,walking}

@data
350,259.521488,44.746079,43.485985,21.895786,7663.524959,jogging
350,278.788476,46.867588,43.268715,22.721855,7952.649147,jogging
350,323.399512,49.584331,46.498478,23.501635,8225.572138,jogging
420,210.352054,42.175935,40.831245,21.874601,9187.332315,jogging
420,245.412258,47.176788,44.781282,22.649996,9512.99814,jogging
490,182.913988,45.403588,42.607351,21.07147,10325.020482,jogging
350,184.426651,37.737301,34.562522,19.733529,6906.735083,jogging
350,155.763358,35.142388,31.137336,19.23713,6732.99556,jogging
350,275.365778,46.33831,43.005583,22.494,7872.900173,jogging
350,316.106463,49.117552,46.136488,23.938899,8378.614512,jogging
350,276.807926,47.857971,43.694927,23.170991,8109.8469,jogging
420,320.030179,54.924723,51.868631,25.046082,10519.354639,jogging
420,163.164954,37.814319,33.912931,19.93747,8373.737355,jogging
420,208.286107,43.010126,39.472423,21.75064,9135.268645,jogging
350,248.639526,44.131839,40.690121,21.837829,7643.240129,jogging
350,289.048831,47.562752,44.616877,22.77022,7969.577144,jogging
350,98.706345,28.177649,24.834375,16.826444,5889.255477,jogging
420,243.01297,47.912644,45.551708,22.640852,9509.1577,jogging
350,273.768525,46.784941,43.694933,21.88243,7658.850632,jogging
350,261.228641,45.309982,41.652048,22.380713,7833.249627,jogging
350,255.215281,43.665728,41.247517,21.349961,7472.486367,jogging
350,256.098118,45.337542,41.69013,21.268894,7444.112812,jogging
350,89.165576,23.861234,20.417857,16.260255,5691.089163,jogging
350,96.301224,26.00293,23.324614,16.245916,5686.070467,jogging
350,59.357138,22.786397,19.073287,15.20507,5321.774483,jogging
350,79.562542,22.986648,20.603982,16.108556,5637.994656,jogging
350,67.072846,21.931572,18.716112,14.814473,5185.065529,jogging
420,63.934535,22.982629,20.885302,15.753995,6616.677952,jogging
350,89.518007,28.258938,23.940326,16.48805,5770.817576,jogging
350,61.452095,19.850744,16.182322,14.413389,5044.686245,jogging
350,103.582422,28.434131,25.292242,16.67079,5834.77651,jogging
350,252.217181,44.576005,41.872245,21.368885,7479.109857,jogging
350,106.832509,27.110977,24.006901,16.414363,5745.027068,jogging
350,65.135653,22.620153,18.854785,15.205487,5321.920516,jogging
350,50.696827,20.968252,17.801416,13.154646,4604.126264,jogging
350,35.513219,24.362494,16.977322,14.088692,4931.042345,jogging
280,2.117654,11.84009,3.363755,10.498707,2939.637989,jogging
490,3.115949,12.112107,5.679327,9.023012,4421.275793,jogging
350,57.888447,20.242484,17.260757,14.622773,5117.970399,jogging
350,46.985312,18.856324,16.994075,13.187368,4615.578645,jogging
350,143.53538,36.730041,34.576366,21.023209,7358.123323,jogging
350,144.457083,31.931263,29.739893,19.77036,6919.626039,jogging
420,164.002862,39.907794,36.854115,19.150524,8043.219891,jogging
350,133.605299,32.682961,29.509684,18.805047,6581.766375,jogging
350,226.085442,45.380505,41.792761,23.025818,8059.036428,jogging
350,42.39857,19.226674,15.975285,13.032078,4561.227463,jogging
420,242.656623,47.713089,43.249228,23.388755,9823.277294,jogging
350,208.479072,42.905972,39.30807,22.116255,7740.689334,jogging
420,151.280195,36.458178,33.087257,21.96626,9225.829342,jogging
420,94.447665,32.410615,29.940319,18.936705,7953.416046,jogging
420,100.397706,28.805801,25.230796,19.446145,8167.380744,jogging
420,164.40228,38.128813,34.824516,22.045955,9259.301022,jogging
490,64.285984,27.876588,22.039986,18.345669,8989.377713,jogging
420,199.011335,41.762734,39.632254,22.598348,9491.305976,jogging
420,195.109883,45.028258,40.416857,21.301669,8946.701012,jogging
420,186.858936,43.027567,38.479197,20.682373,8686.596576,jogging
420,178.895174,40.975513,39.10451,20.089963,8437.784477,jogging
420,216.535823,45.143602,41.797318,21.533907,9044.241017,jogging
350,52.295863,19.052388,16.294213,13.909171,4868.209964,jogging
350,40.637987,19.061109,14.855699,13.885745,4860.010773,jogging
350,92.057329,29.754888,25.399366,17.953952,6283.883295,jogging
350,168.629501,39.44074,35.756259,20.495906,7173.567006,jogging
490,158.984579,42.029954,36.301546,21.45468,10512.793315,jogging
420,203.293123,43.009082,40.136071,21.473735,9018.968782,jogging
350,57.671894,21.973148,17.76808,14.902268,5215.793928,jogging
350,71.034906,22.846314,18.641682,17.023196,5958.118459,jogging
350,62.09776,20.375817,17.395102,14.872632,5205.421236,jogging
350,72.114054,23.892542,20.394099,15.952753,5583.463396,jogging
350,159.780954,37.063844,34.671788,20.015932,7005.576266,jogging
420,151.419516,40.199367,36.984302,23.167537,9730.365621,jogging
420,172.250002,41.211488,38.933115,22.692972,9531.04818,jogging
350,172.999318,38.954256,36.072925,21.325746,7464.011043,jogging
490,185.785974,43.455458,39.090226,21.633802,10600.563073,jogging
420,195.283644,45.76559,39.261856,23.264011,9770.884617,jogging
350,59.311462,22.386027,17.180512,15.899264,5564.742558,jogging
420,194.57242,44.508091,40.826931,21.11655,8868.950963,jogging
420,186.678921,44.899791,38.950144,21.65261,9094.096165,jogging
420,207.215073,44.296811,40.828458,21.00991,8824.16227,jogging
350,42.941136,19.094979,14.184931,14.149937,4952.477863,jogging
420,104.378886,29.549261,25.240392,20.370994,8555.817329,jogging
420,212.695387,44.635242,41.151516,23.504151,9871.74352,jogging
490,232.500697,45.855021,40.857847,23.388657,11460.441951,jogging
350,287.14611,47.459814,43.703196,22.267751,7793.712749,jogging
350,56.748414,24.651518,18.47326,15.750439,5512.653637,jogging
350,71.922049,26.135527,23.144555,15.494133,5422.946693,jogging
420,93.423307,30.442029,24.95467,19.657257,8256.047749,jogging
490,154.755308,38.483051,34.260656,21.205619,10390.753157,jogging
420,89.949767,26.371299,23.762362,19.069075,8009.011451,jogging
490,20.764331,18.337776,12.15052,12.597416,6172.733964,jogging
350,104.973175,26.856589,22.997161,15.816522,5535.782864,running
210,183.757555,35.584193,30.690114,22.513669,4727.870386,running
280,99.934446,30.76527,23.752935,20.3153,5688.284089,running
140,892.375076,60.933494,56.361342,36.408522,5097.193146,running
630,240.338745,45.668579,42.710764,28.665958,18059.553406,running
210,670.098925,62.072862,53.782193,32.339034,6791.197036,running
1260,267.454175,62.096258,56.615279,28.886287,36396.721522,running
350,393.179988,60.683558,55.308399,28.335018,9917.256407,running
140,572.831366,52.643053,47.407214,33.351995,4669.279342,running
1260,221.523814,65.363633,57.291626,30.034856,37843.918795,running
350,582.472538,69.570188,66.422497,35.794801,12528.180305,running
210,575.30935,62.202421,53.875297,34.806775,7309.422647,running
630,227.188719,54.076971,49.320941,30.750303,19372.690828,running
910,210.160134,46.767328,42.844785,28.064251,25538.468019,running
140,730.875179,56.225993,51.170119,33.801343,4732.188045,running
770,197.80521,51.49896,43.580603,29.637925,22821.201877,running
420,294.520033,49.950472,44.555475,30.20622,12686.612355,running
560,213.624552,45.24199,42.027392,28.828524,16143.973269,running
770,186.074439,46.152353,40.458181,28.605938,22026.571908,running
1260,284.53624,58.274633,56.13414,28.9546,36482.795792,running
1890,238.976075,59.255694,53.398493,30.684974,57994.600508,running
140,317.796912,43.507657,34.859218,27.998303,3919.762482,running
420,443.35471,62.474149,55.685464,31.813576,13361.701988,running
1260,300.547226,64.427762,60.67496,32.172671,40537.565678,running
1050,283.693985,61.921415,55.69391,29.916495,31412.319406,running
630,293.589906,55.543888,47.788498,31.021949,19543.827577,running
420,364.427399,61.668563,53.006183,32.33109,13579.057935,running
560,203.908202,48.515475,43.256194,28.873316,16169.057219,running
420,325.209819,54.459958,45.707703,29.259735,12289.088876,running
140,276.35696,36.981233,30.138733,22.431913,3140.467751,running
140,591.870449,51.194697,42.7061,30.474315,4266.404065,running
420,208.537741,44.194402,41.849309,18.743844,7872.41452,running
350,95.878742,23.602837,21.552731,14.0234,4908.189924,running
280,347.030868,50.099704,42.721003,26.379639,7386.298872,running
350,97.906799,34.74031,26.376266,20.992072,7347.225109,running
490,337.158215,50.570767,45.005593,27.497586,13473.817128,running
420,355.964868,56.494295,50.877051,28.015158,11766.366555,running
280,202.227973,41.108337,38.335337,22.190081,6213.222705,running
420,258.47759,49.490469,45.015563,26.507383,11133.100757,running
420,463.337481,60.373223,57.438952,30.274784,12715.409374,running
420,458.443271,56.075043,50.331147,30.457892,12792.314653,running
420,339.28053,50.163731,47.51506,27.771102,11663.862828,running
910,204.376351,55.280239,47.303355,27.578371,25096.317643,running
840,224.625051,55.644531,49.249318,26.20593,22012.981456,running
350,189.550235,46.834513,39.787082,24.989615,8746.365184,running
280,133.753853,37.238322,28.812072,24.047013,6733.163536,running
630,134.009258,38.491207,33.730119,25.423937,16017.080533,running
280,241.146078,41.852557,39.784882,25.343254,7096.11114,running
280,164.778258,37.91793,35.926421,21.319049,5969.333819,running
280,245.549531,46.808431,39.219762,24.589681,6885.110579,running
420,532.133371,60.790386,53.849371,32.26624,13551.820615,running
770,171.537927,46.693475,44.257029,25.281347,19466.637401,running
420,396.645248,60.737527,53.29376,30.08805,12636.981118,running
1260,251.062194,55.775444,48.920679,28.401718,35786.164597,running
770,285.926654,59.182061,51.896857,27.250186,20982.643577,running
560,191.264286,48.76745,43.058997,26.099979,14615.988266,running
280,176.239348,40.296722,35.519971,23.923932,6698.701025,running
420,399.388351,62.198196,54.496754,30.610381,12856.359948,running
420,371.496342,63.024881,55.531438,31.05308,13042.293521,running
630,322.671948,55.717944,52.116047,30.684148,19331.013153,running
140,516.029258,49.934598,42.879542,30.458784,4264.229779,running
770,171.561656,50.933545,44.064372,27.884131,21470.780937,running
630,122.807898,36.105687,31.323584,25.313148,15947.283138,running
280,297.207719,50.013565,45.76382,26.98977,7557.135657,running
770,270.161063,55.62366,49.532354,26.333471,20276.772438,running
140,291.550731,38.72341,33.763607,24.678624,3455.007425,running
280,34.903884,20.64282,15.517291,15.249279,4269.798247,running
420,198.289357,49.912188,42.971197,25.244499,10602.689655,running
490,178.141385,43.617818,34.837017,26.801779,13132.871913,running
700,246.462631,53.255776,44.732431,28.591122,20013.785647,running
280,200.923049,34.980755,30.14047,21.358405,5980.353379,running
420,165.534758,40.10204,36.230124,23.523333,9879.799734,running
490,69.919346,31.216921,26.116923,15.301818,7497.890975,running
350,118.509725,26.431231,25.288484,16.570465,5799.662647,running
280,163.332645,35.902578,27.672608,23.181496,6490.81893,running
280,195.949522,40.67041,33.550959,23.843817,6676.268892,running
910,136.344813,42.017539,38.417644,22.582535,20550.106425,running
280,253.897301,44.483475,39.377157,22.524629,6306.896183,running
350,127.181921,37.134897,29.47138,24.543331,8590.166018,running
420,435.199785,61.820014,58.068007,30.076648,12632.192004,running
560,360.29439,63.637753,59.528074,28.759902,16105.545359,running
280,448.050681,54.977028,48.080135,32.843259,9196.112447,running
420,398.834793,57.494299,50.471154,30.065369,12627.455004,running
560,226.298803,55.075839,51.638373,26.959928,15097.559438,running
280,369.585611,53.050831,46.044061,31.03375,8689.450129,running
140,269.207578,39.925083,32.451691,26.008948,3641.252779,running
770,200.412986,50.432183,46.737505,25.715047,19800.58628,running
1260,240.564357,62.633687,59.155577,28.503609,35914.547234,running
910,235.025213,54.852342,50.249597,27.417673,24950.082341,running
280,495.86719,59.352789,52.089947,34.420487,9637.736412,running
770,137.914705,41.851005,33.544687,25.379767,19542.420323,running
420,238.197025,50.739113,43.027049,28.151569,11823.658895,running
1260,214.812833,58.821751,52.020691,29.036593,36586.10695,running
420,391.93046,62.679876,56.096111,29.950104,12579.043515,running
560,154.483099,43.207655,36.951864,26.601258,14896.704414,running
420,293.735482,57.151756,49.020098,29.259625,12289.042689,running
630,170.249899,46.691399,38.677064,28.818131,18155.422532,running
910,255.066256,54.91382,49.770761,26.554576,24164.664206,running
910,264.569504,59.695027,57.451952,27.625552,25139.252309,running
280,210.360062,45.041448,39.042603,24.464593,6850.086078,running
420,322.356156,55.295808,46.645628,28.26133,11869.758416,running
560,274.309906,58.72949,53.251237,26.429254,14800.382112,running
770,183.344753,44.528569,41.250204,24.810918,19104.40712,running
280,312.56481,51.799314,44.88348,26.149193,7321.774044,running
280,213.826031,43.522201,39.30729,24.303192,6804.893783,running
700,127.477137,39.190899,33.030032,20.169747,14118.822647,running
350,21.835583,19.244177,12.696967,12.541993,4389.697563,running
350,3.146628,12.669577,4.715745,9.959651,3485.877862,running
420,53.693857,23.141479,16.848288,16.072263,6750.350268,running
490,284.210182,51.877255,51.401529,24.372113,11942.335195,running
140,171.586829,29.749044,24.577489,18.29379,2561.130549,running
280,161.169404,37.712135,31.842392,19.393441,5430.163516,running
280,203.440416,42.773362,37.919248,22.663427,6345.759479,running
280,138.775528,35.139275,30.414083,18.723915,5242.696211,running
280,95.564195,32.747945,25.033619,22.258372,6232.344247,running
490,141.250407,44.327764,36.115942,23.58936,11558.786576,running
700,203.215025,48.626391,43.432933,25.861611,18103.127564,running
770,200.487754,53.129537,50.611952,25.021151,19266.28616,running
210,715.62011,63.95503,58.263486,33.74161,7085.738119,running
210,170.439994,38.389614,29.793033,25.232631,5298.852589,running
140,403.948151,42.68141,38.321752,25.884515,3623.832137,running
630,377.71468,59.12302,54.14246,28.648395,18048.4886,running
